code,name,nameTH,category,categoryTH,type,typeTH,credits,description,descriptionTH,prerequisite,remake,remarkTH
ACT 1601,Fundamentals of Financial Accounting,การบัญชีการเงินเบือ􀃊 งต้น,General Education Courses,หมวดวิชาศึกษาทัวไป,Science and Mathematics Courses,กลุ่มวิชาวิทยาศาสตร์และคณิตศาสตร์,3 (3-0-6),"Basic accounting theory and procedures for service and merchandising firms by using double-entry
system, completing accounting process: journalizing, posting to the ledgers, preparation of trial balance,
adjusting entries, worksheet and closing entries, as well as preparation and presentation of basic financial
statements.","ทฤษฎีพืน􀃊 ฐานและหลักการวิธีการบัญชีสำหรับกิจการซือ􀃊 ขายสินค้าและกิจการให้บริการ ตามหลักบัญชีคู่ การทำ
บัญชีอย่างครบถ้วนตามวงจรการบัญชี การบันทึกรายการในสมุดรายวัน การผ่านรายการไปยังบัญชีแยก
ประเภท จัดทำงบทดลอง การปรับปรุง จัดทำกระดาษทำการ การปิดบัญชี และการจัดทำและนำเสนองบการเงิน
พืน􀃊 ฐาน",,"For Arts Students, For Science & Technology Students","สำหรับนักศึกษาคณะศิลปศาสตร์,นักศึกษาคณะวิทยาศาสตร์และเทคโนโลยี"
CSX 1001,Basic Mathematics and Statistics,คณิตศาสตร์และสถิติพื􀃊นฐาน,General Education Courses,หมวดวิชาศึกษาทัวไป,Science and Mathematics Courses,กลุ่มวิชาวิทยาศาสตร์และคณิตศาสตร์,3 (3-0-6),"Basic foundation in mathematics and statistics such as real numbers and sets, algebra, linear equations
and inequalities, analytic geometry, functions, trigonometry, conic sections, matrix algebra, sequences
and series, data and statistics, and methods for summarizing and describing sets of data.","ความรู้พืน􀃊 ฐานด้านคณิตศาสตร์และสถิติ ได้แก่ ระบบจำนวนจริงและเซต พีชคณิต สมการเชิงเส้นและอสมการ
เรขาคณิตวิเคราะห์ ฟังก์ชัน􀃉 ตรีโกณมิติ ภาคตัดกรวย เมทริกซ์ อันดับและอนุกรม ข้อมูลและสถิติ วิธีการสรุป
ข้อมูลและการอธิบายลักษณะข้อมูล",,,
CSX 2002,Calculus,แคลคูลัส,Specialized Courses,หมวดวิชาเฉพาะด้าน,Core Courses,วิชาแกน,3 (3-1-7),"Rate of change, limits, finding limits and continuity, derivatives of function, chain rule, techniques of
differentiation and its application, L’Hopital’s rule. Integration, integration techniques and application of
integrals.","อัตราการเปลีย􀃉 นแปลง การหาค่าลิมิตและความต่อเนื􀃉อง อนุพันธ์ของฟังก์ชัน กฏลูกโซ่ เทคนิคการอนุพันธ์และ
การประยุกต์ของอนุพันธ์ กฏโลปิตาล การอินทิเกรต เทคนิคการอินทิเกรตและการประยุกต์",CSX 1001,,
CSX 2003,Principles of Statistics,หลักการสถิติ,Specialized Courses,หมวดวิชาเฉพาะด้าน,Core Courses,วิชาแกน,3 (3-1-7),"Basic probability theory, random variables, sampling distributions, statistical inference for one population
and two populations, Analysis of Variance, and analysis of categorical data.","พืน􀃊 ฐานทฤษฎีความน่าจะเป็น ตัวแปรสุ่ม การแจกแจงของค่าตัวอย่าง สถิติเชิงอนุมานสำหรับประชากร 1 กลุ่ม
และประชากร 2 กลุ่ม การวิเคราะห์ความแปรปรวน และการวิเคราะห์ข้อมูลเชิงกลุ่ม",CSX 1001,,
CSX 2004,UI/UX Design and Prototyping,การออกแบบและสร้างต้นแบบส่วนติดต่อและประสบการณ์ผู้ใช้งาน,Specialized Courses,หมวดวิชาเฉพาะด้าน,Core Courses,วิชาแกน,3 (3-0-6),"Overview of interactive systems, user capabilities, interface technology, design thinking process, user
stories and scenarios, wireframes and storyboards, prototyping, interaction design, usability design and
testing.","ภาพรวมของปฏิสัมพันธ์ระหว่างมนุษย์กับคอมพิวเตอร์ ความสามารถของผู้ใช้ เทคโนโลยีหน้าจอ ขัน􀃊 ตอน
กระบวนการคิดสำหรับการออกแบบ เนื􀃊อความและโครงเรื􀃉องของผู้ใช้ การวาดโครงร่างโปรแกรม และกำหนด
เนื􀃊อหา การสร้างแบบจำลอง แบบจำลองเสมือนจริง การออกแบบปฏิสัมพันธ์ การออกแบบและทดสอบ
ความสามารถในการใช้งาน",,,
CSX 2005,Design Thinking ,แนวคิดเชิงออกแบบ,Specialized Courses,หมวดวิชาเฉพาะด้าน,Core Courses,วิชาแกน,3 (3-0-6),"Overview of design process, problem interpretation, ideation, experimentation, solution discovery, design
thinking approach to develop products, services, or solutions for complex problems; design thinking
methodology, techniques, and supporting tools.","ภาพรวมของกระบวนการออกแบบ การตีความปัญหา กระบวนการคิด การทดลอง การค้นคว้าหาวิธีแก้ปัญหา
วิธีการคิดเชิงออกแบบเพื􀃉อพัฒนาผลิตภัณฑ์ บริการ หรือวิธีแก้ปัญหาที􀃉ซับซ้อน ระเบียบวิธีการ เทคนิค และ
เครื􀃉องมือสนับสนุนการคิดเชิงออกแบบ",,,
CSX 2006,Mathematics and Statistics for Data Science,คณิตศาสตร์และสถิติสำหรับวิทยาการข้อมูล 3,Specialized Courses,หมวดวิชาเฉพาะด้าน,Core Courses,วิชาแกน,3 (3-1-7),"Linear algebra such as vector spaces in n-space, inner product, norm and distance, orthogonal vector,
vector product, Orthogonal functions and Fourier series, including various techniques in multivariate data
analysis such as multiple regression analysis, discriminant analysis, logistic regression analysis, principal
component analysis, factor analysis, and cluster analysis.","พีชคณิตเชิงเส้น ได้แก่ ปริภูมิเวคเตอร์ใน n-มิติ ผลคูณภายใน นอร์มและระยะทาง เวคเตอร์ตัง􀃊 ฉาก ผลคูณเชิง
เวคเตอร์ ฟังก์ชันเชิงตัง􀃊 ฉากและอนุกรมฟูเรียร์ รวมทัง􀃊 เทคนิคต่างๆในการวิเคราะห์ข้อมูลหลายตัวแปรได้แก่
การวิเคราะห์ถดถอยพหุคูณ การวิเคราะห์จำแนกกลุ่ม การวิเคราะห์ถดถอยโลจิสติก การวิเคราะห์องค์ประกอบ
หลัก การวิเคราะห์องค์ประกอบ และการวิเคราะห์จัดกลุ่ม",CSX 2003,,
CSX 2007,Data Science,วิทยาการข้อมูล,Specialized Courses,หมวดวิชาเฉพาะด้าน,Core Courses,วิชาแกน,3 (3-0-6),"Comprehensive problem-solving mindset, principles, techniques and tools to deal with various facets of
data science practices including data preparation and visualization, exploration, description and prediction
required for knowledge extraction in both science and business domains.","การประมวลองค์ความรู้ในการแก้ปัญหา หลักการ กลวิธี และ เครื􀃉องมือต่างๆ เพือ􀃉 นำมาใช้ในการจัดการประเด็น
ปัญหาทีเ􀃉 กิดขึน􀃊 ตามแนวปฏิบัติของนักวิทยาศาสตร์ข้อมูล ทีป􀃉 ระกอบไปด้วย กระบวนการในการจัดเตรียมข้อมูล
และการทำให้มองเห็นภาพ กระบวนการสำรวจ กระบวนการอธิบายและการคาดการณ์ ซึ􀃉งเป็นที􀃉ต้องการในการ
สกัดองค์ความรู้ ทัง􀃊 ในด้านวิทยาศาสตร์ และธุรกิจ",CSX 2006,,
CSX 2008,Mathematics Foundation for Computer Science,คณิตศาสตร์พื􀃊นฐานสำหรับวิทยาการคอมพิวเตอร์,Specialized Courses,หมวดวิชาเฉพาะด้าน,Core Courses,วิชาแกน,3 (3-0-6),"Discrete mathematics as the basis of computer science, set theory, relation and function, recursive
functions, logic and logical proving, mathematical reasoning, graph theory, tree, algebraic structure,
probability, model of computation and automata.","คณิตศาสตร์แบบไม่ต่อเนื􀃉องทีเ􀃉 ป็นพื􀃊นฐานสำหรับวิทยาการคอมพิวเตอร์ ทฤษฎีเซต ความสัมพันธ์และฟังก์ชัน􀃉
ฟังก์ชัน􀃉 รีเคอร์ซีฟ ตรรกและการพิสูจน์ทางตรรกแบบต่างๆ การใช้เหตุผลทางคณิตศาสตร์ ทฤษฏีกราฟ
โครงสร้างต้นไม้ โครงสร้างทางพีชคณิต ความน่าจะเป็น แบบจำลองการคำนวณ และ ออโตมาต้า",,,
CSX 2001,Introduction to Information Technology,เทคโนโลยีสารสนเทศเบื􀃊องต้น,Major Courses,วิชาเอก,Organization Issues and Information Systems Group,กลุ่มประเด็นองค์การและระบบสารสนเทศ,3 (3-0-6),"Components of IT systems, its' usage and applications, computer hardware and software and its'
operations, communication systems and computer networks basic, applications of current technology,
emerging IT-related technologies.","ส่วนประกอบ การใช้งาน และแอปพลิเคชัน􀃉 ของระบบสารสนเทศ ฮาร์ดแวร์ ซอฟต์แวร์ และการทำงานของ
คอมพิวเตอร์ ระบบสื􀃉อสารและเครือข่ายคอมพิวเตอร์เบื􀃊องต้น แอฟพลิเคชัน􀃉 ต่างๆ ของเทคโนโลยีในปัจจุบัน
เทคโนโลยีสารสนเทศทีเ􀃉 กิดขึน􀃊 ใหม่",,,
CSX 3010,Senior Project I,โครงงานพิเศษ 1,Major Courses,วิชาเอก,Applications Technology Group,กลุ่มเทคโนโลยีเพื􀃉องานประยุกต์,3 (3-0-6),"Specific project which requires students to design and develop a concrete program or system, analyze
the problem, define the solution and design the system by applying the various computer science
concepts. The advisor whom the students select will guide them throughout the project development.
The students must give presentation which includes oral examination.","นักศึกษาแต่ละกลุ่มต้องทำโครงงานเฉพาะเรื􀃉องโดยออกแบบระบบและพัฒนาให้เป็นรูปธรรม ปัญหาทีเ􀃉 ลือกทำ
จะต้องเป็นปัญหาที􀃉ต้องมีการวิเคราะห์ การออกแบบ การหาคำตอบ โดยใช้พื􀃊นฐานความรู้ทางคอมพิวเตอร์
อาจารย์ที􀃉ปรึกษาที􀃉นักศึกษาเลือกจะเป็นผู้ให้ให้คำปรึกษาตัง􀃊 แต่ต้นจนสิ􀃊นสุดโครงงาน และมีการสอบปากเปล่า
เกีย􀃉 วกับโครงงานด้วย",Third-year student status with at least 72 credits completed,,
CSX 3011,Senior Project II,โครงงานพิเศษ 2,Major Courses,วิชาเอก,Organization Issues and Information Systems Group,กลุ่มประเด็นองค์การและระบบสารสนเทศ,3 (3-0-6),"System development project from the industry, students have to work with the companies under the
supervision of their advisor throughout the project. The students must give presentation which includes
oral examination.","โครงการพัฒนาระบบจากภาคอุตสาหกรรม นักศึกษาต้องทำงานร่วมกับบริษัทภายใต้การควบคุมดูแลของ
อาจารย์ทีป􀃉 รึกษาตลอดโครงการ นักศึกษาต้องทำการนำเสนอผลงานรวมไปถึงการสอบปากเปล่า",fourth-year student status with at least 100 credits completed,,
CSX 3001,Fundamentals of Computer Programming,พื􀃊นฐานการเขียนโปรแกรมคอมพิวเตอร์,Major Courses,วิชาเอก,Technology and Software Methods Group,กลุ่มเทคโนโลยีและวิธีการทางซอฟต์แวร์,3 (3-0-6),"History of computer, components of a computer system, coding and numbering systems, algorithm and
development process of algorithms and expression of algorithms in terms of flowchart and pseudo code,
implementation of algorithms using one of the high level languages that are used widely in the industry
with emphasis on the nature and structure of the language, techniques of programming for both numerical
and non-numerical processing, structure of the programming languages and how to develop structured
programming","ประวัติของคอมพิวเตอร์ องค์ประกอบของระบบคอมพิวเตอร์ การเข้ารหัส และระบบจำนวนต่างๆ การพัฒนา
ขัน􀃊 ตอนวิธีทีใ􀃉 ช้ในการแก้ปัญหา โดยเขียนเป็นผังงาน พร้อมทัง􀃊 ทำให้เกิดผลโดยการเขียนด้วยโปรแกรมระดับสูง
ซึ􀃉งกำลังใช้อย่างแพร่หลายในปัจจุบัน โดยเน้นที􀃉ธรรมชาติและโครงสร้างของภาษา เทคนิคของการเขียน
โปรแกรมทัง􀃊 สำหรับการประมวลผลเชิงเลขและไม่เชิงเลข โครงสร้างของภาษาโปรแกรมต่างๆ และวิธีการพัฒนา
โปรแกรมแบบโครงสร้าง",,,
CSX 3002,Object-Oriented Concepts and Programming,แนวคิดและการเขียนโปรแกรมเชิงวัตถุ,Major Courses,วิชาเอก,Organization Issues and Information Systems Group,กลุ่มประเด็นองค์การและระบบสารสนเทศ,3 (3-0-6),"Different software development methods emphasizing on object oriented methods, fundamental concepts
of object oriented programming, inheritance, polymorphism, encapsulation, object oriented programming
tools, class libraries, application development using object oriented concept, analysis and design of
object-oriented data architecture.","วิธีต่างๆในการพัฒนาซอฟต์แวร์ โดยเน้นการใช้วิธีการพัฒนาเชิงวัตถุ พืน􀃊 ฐานของการเขียนโปรแกรมเชิงวัตถุ
การสืบทอด (inheritance) สภาวะหลายรูปแบบ (polymorphism) การห่อหุ้ม (encapsulation) เครื􀃉องมือการ
เขียนโปรแกรมเชิงวัตถุ ห้องสมุดคลาส (class libraries) การพัฒนาซอฟต์แวร์ด้วยแนวคิดเชิงวัตถุ การวิเคราะห์
และออกแบบสถาปัตยกรรมข้อมูลเชิงวัตถุ",CSX 3001,,
CSX 3003,Data Structure and Algorithms,โครงสร้างข้อมูลและขัน􀃊 ตอนวิธี 3,Major Courses,วิชาเอก,Organization Issues and Information Systems Group,กลุ่มประเด็นองค์การและระบบสารสนเทศ,3 (3-0-6),"Analysis of complexity of algorithms, various data structures including array, string, stack, queue,
dequeue, tree, graph, set and heap, applications and analysis of algorithms developed employing the
data structures mentioned above including time and memory requirement analysis of various searching
and sorting algorithms.","การวิเคราะห์ความซับซ้อนของขัน􀃊 ตอนการแก้ปัญหา โครงสร้างข้อมูลแบบต่างๆ เช่น ข้อมูลแบบแถวลำดับ
ข้อมูลอักขระ ข้อมูลแบบทับซ้อน ข้อมูลแบบแถวคอย ข้อมูลแบบออกแถวคอย ข้อมูลรูปแบบต้นไม้ กราฟ เซต
และฮีพ การประยุกต์และการวิเคราะห์ขัน􀃊 ตอนการแก้ปัญหาที􀃉สร้างจากโครงสร้างข้างต้นรวมทัง􀃊 การวิเคราะห์
จำนวนเวลาและหน่วยความจำทีต􀃉 ้องการในการสืบค้น และการเรียงลำดับ",CSX 3002,,
CSX 3004,Programming Languages,ภาษาโปรแกรม,Major Courses,วิชาเอก,Organization Issues and Information Systems Group,กลุ่มประเด็นองค์การและระบบสารสนเทศ,3 (3-0-6),"Computer programming languages on comparative basis with special consideration on syntax, semantics,
and implementation, emphasizing on suitability of programming languages for various data manipulations
and situations: exception handling, subroutines, visibility rules, concurrency and memory management","การเปรียบเทียบโปรแกรมภาษาคอมพิวเตอร์โดยพิจารณาเกี􀃉ยวกับวากยสัมพันธ์ ความหมาย และการใช้งาน
โดยเน้นคุณสมบัติของภาษาที􀃉อำนวยความสะดวกในด้านชนิดของข้อมูล การกระทำ ผังการควบคุม การ
ดำเนินการเกีย􀃉 วกับข้อยกเว้น โปรแกรมย่อย กฎการเห็น การทำพร้อมกัน และการจัดการหน่วยความจำ",CSX 3002,,
CSX 3009,Algorithm Design,การออกแบบขัน􀃊 ตอนวิธี,Major Courses,วิชาเอก,Organization Issues and Information Systems Group,กลุ่มประเด็นองค์การและระบบสารสนเทศ,3 (3-0-6),"Techniques for designing algorithms using divide and conquer, greedy method, dynamic programming
and backtracking by emphasizing on analysis of efficiency, design techniques for NP problem domain.","วิธีการออกแบบขัน􀃊 ตอนวิธี ได้แก่ Divide-and-conquer วิธีกรีดี การโปรแกรมไดนามิค และแบ๊คแทร์ดกิ􀃊งโดย
เน้นทีก􀃉 ารวิเคราะห์ประสิทธิภาพ วิธีการออกแบบอัลกอริธัมเพือ􀃉 ใช้กับปัญหาในกลุ่ม NP",CSX 2008,,
CSX 2009,Cloud Computing,การประมวลผลแบบคลาวด์,Major Courses,วิชาเอก,Systems Infrastructure Group,กลุ่มโครงสร้างพื􀃊นฐานของระบบ,3 (3-0-6),"Cloud computing concepts and capabilities, cloud service models; IaaS, PaaS and SaaS, cloud
containers, virtualization technologies, infrastructure migration approaches, cloud security and protection
mechanisms, cloud resource management and monitoring capabilities, current trends and research in
cloud computing.","แนวคิดและความสามารถของการประมวลผลแบบคลาวด์ รูปแบบการให้บริการในระบบคลาวด์ เช่น บริการเชิง
โครงสร้างพืน􀃊 ฐาน (IaaS) บริการเชิงแฟลตฟอร์ม (PaaS) และ บริการเชิงบริการสำเร็จรูป (Saas) การสร้างคอน
เทนเนอร์ในระบบคลาวด์ เทคโนโลยีเสมือน แนวทางการโอนย้ายระบบโครงสร้างพืน􀃊 ฐาน การป้องกันและความ
มัน􀃉 คงปลอดภัยของระบบคลาวด์ การบริหารจัดการทรัพยากรระบบคลาวด์และการตรวจสอบ แนวโน้มและการ
วิจัยทีเ􀃉 ป็นปัจจุบันสำหรับระบบคลาวด์",,,
CSX 3005,Computer Networks,เครือข่ายคอมพิวเตอร์,Major Courses,วิชาเอก,Systems Infrastructure Group,กลุ่มโครงสร้างพื􀃊นฐานของระบบ,3 (3-0-6),"Fundamentals of computer networks, network devices and services, role of protocol layers, protocol
basics and network protocols, inter-operability issues, Open System Interconnection (OSI) reference
model and TCP/IP, addressing and naming schemes, network types and topologies, wired and wireless
networks, network media, Local Area Network (LAN) and Wide Area Network (WAN) technologies,
network security basics.","หลักพื􀃊นฐานเครือข่ายคอมพิวเตอร์ อุปกรณ์เครือข่ายและบริการ บทบาทของโปรโตคอลในแต่ละชัน􀃊 ของการ
สื􀃉อสารผ่านเครือข่าย พื􀃊นฐานของโปรโตคอลและโปรโตคอลสำหรับเครือข่าย ประเด็นด้านการทำงานร่วมกัน
โมเดลอ้างอิง OSI และ TCP/IP การกำหนดชื􀃉อและไอพีแอดเดรส ชนิดและโทโพลียีของเครือข่าย",,,
CSX 3006,Database Systems,ระบบฐานข้อมูล,Major Courses,วิชาเอก,Systems Infrastructure Group,กลุ่มโครงสร้างพื􀃊นฐานของระบบ,3 (3-0-6),"Database systems and database management, types of database systems emphasizing on relational
database, functional dependency, normalization, query optimization, integrity and security of database
systems, and concurrency control.","ระบบฐานข้อมูลและการจัดการฐานข้อมูล ประเภทของระบบฐานข้อมูล โดยเน้นที􀃉ฐานข้อมูลเชิงสัมพันธ์
ความสัมพันธ์ระหว่างแอททริบิวต์แบบฟังก์ชัน การทำให้เป็นบรรทัดฐาน การสืบค้นข้อมูลทีไ􀃉 ด้คำตอบที􀃉ดีที􀃉สุด
ความสมบูรณ์และความปลอดภัยของฐานข้อมูล และ การควบคุมภาวะพร้อมกัน",CSX 3002,,
CSX 3008,Operating Systems,ระบบปฏิบัติการ,Major Courses,วิชาเอก,Systems Infrastructure Group,กลุ่มโครงสร้างพื􀃊นฐานของระบบ,3 (3-0-6),"Components and functions of operating systems, uniprogramming, multi-programming, multitasking,
multithreading, resource management functions of operating systems, process scheduling algorithms,
device management algorithms, virtual memory management, and classical problems related to operating
systems such as deadlock, starvation and concurrency.","ส่วนประกอบของโปรแกรมควบคุมระบบ และการทำงานของโปรแกรมควบคุมระบบ การทำงานทีละโปรแกรม
การทำงานพร้อมกันหลายโปรแกรม การทำงานของโปรแกรมควบคุมระบบในลักษณะของผู้จัดการทรัพยากร
คอมพิวเตอร์ ขัน􀃊 ตอนการจัดลำดับตัวประมวลผล ขัน􀃊 ตอนการจัดการอุปกรณ์ การจัดระบบหน่วยความจำแบบ
เสมือน ปัญหาพื􀃊นฐานในการทำงานของโปรแกรมควบคุมระบบ เช่น การติดตาย การรอทรัพยากรอย่างไม่มี
กำหนด (starvation) และ ภาวะพร้อมกัน",,,
CSX 3007,Computer Architecture,สถาปัตยกรรมคอมพิวเตอร์,Major Courses,วิชาเอก,Hardware and Computer Architecture Group,กลุ่มฮาร์ดแวร์และสถาปัตยกรรมคอมพิวเตอร์,3 (3-0-6),"Computer system components, combinatory circuits, sequential circuits, micro-operations using flip-flop,
registers, adder and counter, computational operations and control of micro-operations, design of
memory unit, design of set of instructions, design of parallel processing as well as SISD, SIMD, MISD,
and MIMD architectures.","ส่วนประกอบของระบบคอมพิวเตอร์ วงจรคอมบิเนเตอรี 􀃉 วงจรซีเควนเชียล ไมโครโอเปอร์เรชัน􀃉 โดยใช้ ฟลิปฟลอบ
เรจิสเตอร์ แอดเดอร์ และ เคาน์เตอร์ การสังเคราะห์การกระทำ ทางเลขคณิตและการควบคุมจากไมโครโอเปอร์
เรชัน􀃉 โครงสร้างของหน่วยความจำและการออกแบบ หน่วยควบคุมและการออกแบบ เซตของคำสัง􀃉 และการ
ออกแบบ การประมวลผลแบบขนาน สถาปัตยกรรมของคอมพิวเตอร์แบบ SISD, SIMD, MISD และ MIMD",,,
CSX 4101,Information System Analysis and Design,การวิเคราะห์และออกแบบระบบสารสนเทศ,Major Elective Courses,วิชาเอกเลือก,Group 1(A) Software Engineering and Development,วิชาเอกเลือกกลุ่ม 1(A) Software Engineering and Development,3 (3-0-6),"The information system development life cycle, methodologies in information system analysis and design,
tools and techniques used in information system analyze and design.","วงจรชีวิตการพัฒนาระบบ ระเบียบวิธีในการวิเคราะห์และออกแบบระบบสารสนเทศ เครื􀃉องมือและเทคนิคทีใ􀃉 ช้ใน
การวิเคราะห์และออกแบบระบบสารสนเทศ",,,
CSX 4102,Software Engineering,วิศวกรรมซอฟต์แวร์,Major Elective Courses,วิชาเอกเลือก,Group 1(A) Software Engineering and Development,วิชาเอกเลือกกลุ่ม 1(A) Software Engineering and Development,3 (3-0-6),"Software life cycle, analysis of requirements, structured software design, development, implementation,
testing, and maintenance of software, reusable software, documentation and software manuals, and
software project management.","วงจรชีวิตของซอฟต์แวร์ การวิเคราะห์ความต้องการ วิธีการออกแบบซอฟต์แวร์ แบบโครงสร้างการพัฒนา การ
นำไปใช้ การทดสอบ และการบำรุงรักษาซอฟต์แวร์ การเขียนซอฟท์แวร์ให้ใช้ได้ใหม่ การเขียนเอกสารและคู่มือ
การใช้ซอฟต์แวร์ การจัดการโครงการซอฟต์แวร์",,,
CSX 4103,Requirement Engineering,วิศวกรรมความต้องการ,Major Elective Courses,วิชาเอกเลือก,Group 1(A) Software Engineering and Development,วิชาเอกเลือกกลุ่ม 1(A) Software Engineering and Development,3 (3-0-6),"Software life cycle, analysis of requirements, structured software design, development, implementation,
testing, and maintenance of software, reusable software, documentation and software manuals, and
software project management","วงจรชีวิตของซอฟท์แวร์ การวิเคราะห์ความต้องการ วิธีการออกแบบซอฟท์แวร์ แบบโครงสร้างการพัฒนา การ
นำไปใช้ การทดสอบ และการบำรุงรักษาซอฟท์แวร์ การเขียนซอฟท์แวร์ให้ใช้ได้ใหม่ การเขียนเอกสารและคู่มือ
การใช้ซอฟท์แวร์ การจัดการโครงการซอฟท์แวร์",CSX 4101,,
CSX 4104,Software Testing,การทดสอบซอฟต์แวร์,Major Elective Courses,วิชาเอกเลือก,Group 1(A) Software Engineering and Development,วิชาเอกเลือกกลุ่ม 1(A) Software Engineering and Development,3 (3-0-6),"Detailed activities involved in testing a software, different approaches in testing various components of
a software, appropriate testing methods for different problems, and utilization of testing reports effectively
in order to improve quality of a software both during software development and after software
implementation.","กิจกรรมเชิงลึกในการทดสอบซอฟต์แวร์ แนวทางที􀃉ใช้ทดสอบส่วนต่างๆ ของซอฟต์แวร์ วิธีการทดสอบที􀃉
เหมาะสมกับปัญหาต่างๆ และการนำรายงานการทดสอบไปใช้เพื􀃉อปรับปรุงคุณภาพของซอฟต์แวร์ทัง􀃊 ระหว่าง
การพัฒนาซอฟต์แวร์และหลังจากการนำซอฟต์แวร์ไปใช้",CSX 4101,,
CSX 4105,IT Project Management,การบริหารโครงการเทคโนโลยีสารสนเทศ,Major Elective Courses,วิชาเอกเลือก,Group 1(A) Software Engineering and Development,วิชาเอกเลือกกลุ่ม 1(A) Software Engineering and Development,3 (3-0-6),"Project planning, budgeting, prototyping, implementing, and monitoring; resource management, terms of
reference, service level agreement, dispute resolution, ICT system development methodologies in
practice","การวางแผนโครงการ งบประมาณ การสร้างต้นแบบ การดำเนินการ และการกำกับดูแล การบริหารทรัพยากร
ข้อกำหนด ข้อตกลงในการให้บริการ การระงับข้อพิพาท วิธีการในการพัฒนาระบบเทคโนโลยีสารสนเทศและ
การสือ􀃉 สารในเชิงปฏิบัติ",,,
CSX 4106,Enterprise Architecture,สถาปัตยกรรมองค์กร,Major Elective Courses,วิชาเอกเลือก,Group 1(A) Software Engineering and Development,วิชาเอกเลือกกลุ่ม 1(A) Software Engineering and Development,3 (3-0-6),"Enterprise Architecture basic elements, Enterprise Architecture Framework, Enterprise Architecture
Domains, Architecture Development Method and Enterprise Continuum.","องค์ประกอบพืน􀃊 ฐานของสถาปัตยกรรมองค์กร เค้าโครงของสถาปัตยกรรมองค์กร ขอบเขตของสถาปัตยกรรม
องค์กร วิธีการพัฒนาสถาปัตยกรรม และความต่อเนื􀃉องขององค์กร",,,
CSX 4107,Web Application Development,การพัฒนาโปรแกรมบนเว็บ,Major Elective Courses,วิชาเอกเลือก,Group 1(A) Software Engineering and Development,วิชาเอกเลือกกลุ่ม 1(A) Software Engineering and Development,3 (3-0-6),"Web application design and development, model view controller (VMC) framework, Hypertext Markup
Language (HTML), dynamic HTML (DHTML), scripting language, such as VB Script, Jscript, etc.,
knowledge and skills required to develop web application using n-tiers architecture, designing, building,
and deploying web application.","การออกแบบและพัฒนาเว็บเพจ กรอบแบบจำลอง มุมมอง การควบคม (เอ็มวีซี), ภาษามาร์กอัปข้อความหลาย
มิติ )HTML) และไดนามิกส์ HTML พร้อมด้วยภาษาสคริพท์ต่างๆ เช่น วีบีสคริพท์หรือเจสคริพท์ ความรู้และ
ทักษะในการพัฒนาโปรแกรมบนเว็บโดยใช้สถาปัตยกรรม n-tiers การออกแบบ การจัดสร้าง และการติดตัง􀃊
โปรแกรมบนเว็บ",CSX 3002,,
CSX 4108,iOS Application Development,การพัฒนาโปรแกรมประยุกต์บนไอโอเอส,Major Elective Courses,วิชาเอกเลือก,Group 1(A) Software Engineering and Development,วิชาเอกเลือกกลุ่ม 1(A) Software Engineering and Development,3 (3-0-6),"Development fundamentals for handheld devices, mobile user experience and usability, designing and
implementing applications efficiently under the restrictions of limited resources, programming
development frameworks and life cycle on iOS Platform, iOS Software Development Kits (SDK), Xcode,
development environment (IDE) and Objective-C programming language for iPhone/iPad, and
deployment of application on iPhone/iPad.","พืน􀃊 ฐานการพัฒนาบนอุปกรณ์มือถือ ประสบการณ์และการใช้งานของผู้ใช้มือถือ การออกแบบและการจัดสร้าง
โปรแกรมประยุกต์อย่างมีประสิทธิภาพภายใต้กรอบและข้อจำกัดทางด้านทรัพยากร กรอบและวงจรในการ
พัฒนาโปรแกรมบนไอโอเอส ชุดพัฒนาซอฟต์แวร์ (SDK) บนไอโอเอส Xcode สภาพแวดล้อมในการพัฒนาและ
การเขียนโปรแกรมภาษา Objective-C สำหรับ ไอโฟน/ไอแพด และการติดตัง􀃊 โปรแกรมประยุกต์บนอุปกรณ์
ไอโฟน/ไอแพต",CSX 3002,,
CSX 4109,Android Application Development,การพัฒนาโปรแกรมประยุกต์บนแอนดรอยด์,Major Elective Courses,วิชาเอกเลือก,Group 1(A) Software Engineering and Development,วิชาเอกเลือกกลุ่ม 1(A) Software Engineering and Development,3 (3-0-6),"Development fundamentals for handheld devices, mobile user experience and usability, designing and
implementing applications efficiently under the restrictions of limited resources, programming
development frameworks and life cycle on Android Platform, and deployment of application on Android
device","พืน􀃊 ฐานการพัฒนาบนอุปกรณ์มือถือ ประสบการณ์และการใช้งานของผู้ใช้มือถือ การออกแบบและการจัดสร้าง
โปรแกรมประยุกต์อย่างมีประสิทธิภาพภายใต้กรอบและข้อจำกัดทางด้านทรัพยากร กรอบและวงจรในการ
พัฒนาโปรแกรมบนแอนดรอยด์ และการติดตัง􀃊 โปรแกรมประยุกต์บนอุปกรณ์แอนดรอยด์",CSX 3002,,
